Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
74903903,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
74904622,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
74905016,00000000,false,Rx,0,8,00,00,02,00,00,00,00,01,
74905194,00000000,false,Rx,0,8,00,00,00,00,00,00,00,00,
74905374,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74905508,000002A6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
74907486,00000480,false,Rx,0,8,00,01,FF,FF,FF,FF,FF,FF,
74908680,000004E0,false,Rx,0,8,60,01,FF,FF,FF,FF,FF,FF,
74912647,0000026E,false,Rx,0,8,00,00,00,50,FF,FF,FF,FF,
74913722,00000130,false,Rx,0,5,00,02,34,3F,66,00,00,00,
74916718,000004F0,false,Rx,0,8,70,01,FF,FF,FF,FF,FF,FF,
74917714,000004C0,false,Rx,0,8,40,01,FF,FF,FF,FF,FF,FF,
74921710,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
74922708,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
74924707,000004F2,false,Rx,0,8,72,01,FF,FF,FF,FF,FF,FF,
74925706,000000FA,false,Rx,0,3,FF,00,FF,00,00,00,00,00,
74926706,000004C3,false,Rx,0,8,43,01,FF,FF,FF,FF,FF,FF,
74927704,000001D6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
74928628,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
74929701,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74929719,000002A6,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74930625,000003B6,false,Rx,0,2,37,FD,00,00,00,00,00,00,
74931624,000000E2,false,Rx,0,8,FF,FF,FF,FC,FF,FF,FF,10,
74944609,000004F8,false,Rx,0,8,78,01,FF,FF,FF,FF,FF,FF,
74948679,00000330,false,Rx,0,8,4A,AA,03,0A,FF,FF,70,03,
74949678,000001FE,false,Rx,0,2,FF,00,00,00,00,00,00,00,
74950676,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
74950693,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
74951675,000002F8,false,Rx,0,8,FD,FD,FD,1C,6F,E6,07,FC,
74952674,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
74953677,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74954675,000002A6,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74955672,000003BE,false,Rx,0,2,00,F0,00,00,00,00,00,00,
74957671,000002C0,false,Rx,0,3,3F,81,16,00,00,00,00,00,
74958669,000003B6,false,Rx,0,2,37,FD,00,00,00,00,00,00,
74958688,000000FA,false,Rx,0,3,FF,00,FF,00,00,00,00,00,
74959667,0000026C,false,Rx,0,3,FC,FF,FF,00,00,00,00,00,
74960667,000000EA,false,Rx,0,8,8F,FF,E0,FD,FF,FF,FF,2B,
74970657,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
74971655,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
74972653,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
74972673,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
74974652,00000480,false,Rx,0,8,40,02,FF,FF,FF,FF,FF,FF,
74974671,000003B8,false,Rx,0,2,37,FD,00,00,00,00,00,00,
74976644,00000580,false,Rx,0,8,04,11,04,01,05,FF,02,F0,
74978642,000004C1,false,Rx,0,8,41,01,FE,FF,FF,FF,FF,FF,
74984638,000002F6,false,Rx,0,2,F5,FD,00,00,00,00,00,00,
74984656,000003BD,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
